"","Teleological","MechanisticAgent","MechanisticLayout","NumCauses","Contrastive","SufficientDetail","Satisfying","Complete","Trust","EID","PID","type","SID","ExplanationNeed","ExplanationCuriosity","GenderAnnotator","AgeAnnotator","expPID","GenderExplainer","AgeExplainer"
"1",5,5,1,4,FALSE,4,4,4,3,"1","65428adcca88b655d14cf6db","Teleological",1,4,"To know why the self-driving car did not make some other decision.,I was surprised by the self-driving car's actions and want to know what I missed.","Male","25-34 years old","55b6a2e5fdf99b350d57360e","Female","35-44 years old"
"2",3,3,3,2,TRUE,3,3,3,3,"1","63dd74130daeb04666667bf9","Teleological",1,3,"To know that I understand the self-driving car correctly.,To understand what the self-driving car would do next.,To know what the self-driving car would have done if something had been different.,I was surprised by the self-driving car's actions and want to know what I missed.","Female","25-34 years old","55b6a2e5fdf99b350d57360e","Female","35-44 years old"
"3",3,3,1,1,FALSE,2,4,2,2,"1","6314e875f7c98f1d344b2e3f","Teleological",1,3,"To know why the self-driving car did not make some other decision.,To know what the self-driving car would have done if something had been different.","Male","25-34 years old","55b6a2e5fdf99b350d57360e","Female","35-44 years old"
"4",5,5,5,3,FALSE,5,5,5,5,"1","63d410114a361b7bee9c12b9","Teleological",1,5,"I was surprised by the self-driving car's actions and want to know what I missed.","Female","35-44 years old","55b6a2e5fdf99b350d57360e","Female","35-44 years old"
"5",4,4,3,2,FALSE,4,4,4,4,"1","6290d46c21b280fe8d88155f","Teleological",1,4,"To know why the self-driving car did not make some other decision.","Male","25-34 years old","55b6a2e5fdf99b350d57360e","Female","35-44 years old"
"6",5,1,3,1,FALSE,1,1,1,1,"2","65428adcca88b655d14cf6db","Teleological",1,4,"To know why the self-driving car did not make some other decision.,I was surprised by the self-driving car's actions and want to know what I missed.","Male","25-34 years old","5f6f88cdb1ca47522ca4eef3","Female","35-44 years old"
"7",5,1,1,1,FALSE,1,3,4,2,"2","652e8fa11356c619d2c8bdb3","Teleological",1,3,"I was surprised by the self-driving car's actions and want to know what I missed.","Female","25-34 years old","5f6f88cdb1ca47522ca4eef3","Female","35-44 years old"
"8",5,2,2,3,FALSE,1,1,1,1,"2","5c32331c70d93a00012338fd","Teleological",1,1,"To know what the self-driving car would have done if something had been different.","Female","55-64 years old","5f6f88cdb1ca47522ca4eef3","Female","35-44 years old"
"9",4,3,4,2,TRUE,4,4,4,4,"2","647c634cd65cca58780f6b82","Teleological",1,4,"To know what the self-driving car would have done if something had been different.","Male","45-54 years old","5f6f88cdb1ca47522ca4eef3","Female","35-44 years old"
"10",5,1,1,1,FALSE,1,1,1,1,"2","5eefc651cb94ad4c4d017b86","Teleological",1,3,"To know why the self-driving car did not make some other decision.,I was surprised by the self-driving car's actions and want to know what I missed.","Male","25-34 years old","5f6f88cdb1ca47522ca4eef3","Female","35-44 years old"
"11",3,1,4,2,FALSE,4,4,4,2,"4","65428adcca88b655d14cf6db","Teleological",1,4,"To know why the self-driving car did not make some other decision.,I was surprised by the self-driving car's actions and want to know what I missed.","Male","25-34 years old","60965962e523358592059dcb","Female","65+ years old"
"12",2,1,5,2,FALSE,2,1,1,1,"4","5a8cbc73eea3d300016eaf0b","Teleological",1,2,"To know that I understand the self-driving car correctly.","Male","25-34 years old","60965962e523358592059dcb","Female","65+ years old"
"13",3,1,3,2,FALSE,3,2,2,2,"4","63dd74130daeb04666667bf9","Teleological",1,3,"To know that I understand the self-driving car correctly.,To understand what the self-driving car would do next.,To know what the self-driving car would have done if something had been different.,I was surprised by the self-driving car's actions and want to know what I missed.","Female","25-34 years old","60965962e523358592059dcb","Female","65+ years old"
"14",4,4,3,2,FALSE,4,4,3,4,"4","654f3f5b7634b6d7df3e9065","Teleological",1,4,"To know that I understand the self-driving car correctly.,To know why the self-driving car did not make some other decision.,To know what the self-driving car would have done if something had been different.","Male","35-44 years old","60965962e523358592059dcb","Female","65+ years old"
"15",4,4,4,2,TRUE,2,4,4,4,"4","5f606aeccdc12d000a79181a","Teleological",1,4,"I was surprised by the self-driving car's actions and want to know what I missed.","Female","55-64 years old","60965962e523358592059dcb","Female","65+ years old"
"16",4,1,2,2,FALSE,1,3,2,2,"12","65428adcca88b655d14cf6db","Teleological",1,4,"To know why the self-driving car did not make some other decision.,I was surprised by the self-driving car's actions and want to know what I missed.","Male","25-34 years old","63614a372fef8174fe8363f1","Male","18-24 years old"
"17",5,2,5,2,TRUE,4,1,4,5,"12","652e8fa11356c619d2c8bdb3","Teleological",1,3,"I was surprised by the self-driving car's actions and want to know what I missed.","Female","25-34 years old","63614a372fef8174fe8363f1","Male","18-24 years old"
"18",5,1,1,1,FALSE,2,1,1,1,"12","6539518f1ace74e4d496fc7b","Teleological",1,2,"To know why the self-driving car did not make some other decision.","Male","45-54 years old","63614a372fef8174fe8363f1","Male","18-24 years old"
"19",5,1,1,0,TRUE,5,5,5,5,"12","64467092479723cb7906e371","Teleological",1,5,"To understand what the self-driving car would do next.,To know why the self-driving car did not make some other decision.,To know what the self-driving car would have done if something had been different.","Female","65+ years old","63614a372fef8174fe8363f1","Male","18-24 years old"
"20",5,1,1,1,FALSE,4,3,3,4,"12","574beef75e549100063c2ad0","Teleological",1,4,"I was surprised by the self-driving car's actions and want to know what I missed.","Female","35-44 years old","63614a372fef8174fe8363f1","Male","18-24 years old"
"21",4,2,2,1,FALSE,4,4,4,2,"16","65428adcca88b655d14cf6db","Teleological",1,4,"To know why the self-driving car did not make some other decision.,I was surprised by the self-driving car's actions and want to know what I missed.","Male","25-34 years old","610a0cc86440f3b150d7a6d6","Female","18-24 years old"
"22",5,5,5,3,TRUE,5,5,5,5,"16","62d76226d4848594e77ef056","Teleological",1,2,"To know why the self-driving car did not make some other decision.","Male","35-44 years old","610a0cc86440f3b150d7a6d6","Female","18-24 years old"
"23",4,3,2,2,TRUE,3,3,2,2,"16","6539518f1ace74e4d496fc7b","Teleological",1,2,"To know why the self-driving car did not make some other decision.","Male","45-54 years old","610a0cc86440f3b150d7a6d6","Female","18-24 years old"
"24",5,5,5,2,TRUE,5,5,5,5,"16","63d410114a361b7bee9c12b9","Teleological",1,5,"I was surprised by the self-driving car's actions and want to know what I missed.","Female","35-44 years old","610a0cc86440f3b150d7a6d6","Female","18-24 years old"
"25",3,2,2,1,TRUE,4,4,4,4,"16","55d524a68ce09000057d4826","Teleological",1,3,"I was surprised by the self-driving car's actions and want to know what I missed.","Female","35-44 years old","610a0cc86440f3b150d7a6d6","Female","18-24 years old"
"26",5,1,3,2,FALSE,4,2,2,1,"17","65428adcca88b655d14cf6db","Teleological",1,4,"To know why the self-driving car did not make some other decision.,I was surprised by the self-driving car's actions and want to know what I missed.","Male","25-34 years old","62eab49b3494af2a6cb7348d","Male","35-44 years old"
"27",4,2,2,1,FALSE,2,2,2,1,"17","613e157ccd6af6049001ce25","Teleological",1,1,"To know why the self-driving car did not make some other decision.","Female","65+ years old","62eab49b3494af2a6cb7348d","Male","35-44 years old"
"28",5,2,3,1,FALSE,4,4,4,4,"17","6539518f1ace74e4d496fc7b","Teleological",1,2,"To know why the self-driving car did not make some other decision.","Male","45-54 years old","62eab49b3494af2a6cb7348d","Male","35-44 years old"
"29",4,1,3,1,FALSE,3,3,4,4,"17","55d524a68ce09000057d4826","Teleological",1,3,"I was surprised by the self-driving car's actions and want to know what I missed.","Female","35-44 years old","62eab49b3494af2a6cb7348d","Male","35-44 years old"
"30",4,4,4,2,TRUE,4,4,4,4,"17","647c634cd65cca58780f6b82","Teleological",1,4,"To know what the self-driving car would have done if something had been different.","Male","45-54 years old","62eab49b3494af2a6cb7348d","Male","35-44 years old"
"31",3,4,2,2,FALSE,4,3,4,3,"25","65428adcca88b655d14cf6db","Mechanistic",1,4,"To know why the self-driving car did not make some other decision.,I was surprised by the self-driving car's actions and want to know what I missed.","Male","25-34 years old","55b6a2e5fdf99b350d57360e","Female","35-44 years old"
"32",5,5,3,3,TRUE,2,2,4,5,"25","652e8fa11356c619d2c8bdb3","Mechanistic",1,3,"I was surprised by the self-driving car's actions and want to know what I missed.","Female","25-34 years old","55b6a2e5fdf99b350d57360e","Female","35-44 years old"
"33",5,5,5,3,FALSE,3,1,2,1,"25","5c32331c70d93a00012338fd","Mechanistic",1,1,"To know what the self-driving car would have done if something had been different.","Female","55-64 years old","55b6a2e5fdf99b350d57360e","Female","35-44 years old"
"34",3,4,3,2,FALSE,5,4,3,3,"25","63cdf894c118ad4f84489c1a","Mechanistic",1,5,"To know that I understand the self-driving car correctly.,To understand what the self-driving car would do next.","Male","45-54 years old","55b6a2e5fdf99b350d57360e","Female","35-44 years old"
"35",3,4,4,1,TRUE,5,4,4,5,"25","5f606aeccdc12d000a79181a","Mechanistic",1,4,"I was surprised by the self-driving car's actions and want to know what I missed.","Female","55-64 years old","55b6a2e5fdf99b350d57360e","Female","35-44 years old"
"36",4,5,3,2,FALSE,2,3,4,3,"26","65428adcca88b655d14cf6db","Mechanistic",1,4,"To know why the self-driving car did not make some other decision.,I was surprised by the self-driving car's actions and want to know what I missed.","Male","25-34 years old","5f6f88cdb1ca47522ca4eef3","Female","35-44 years old"
"37",1,1,1,2,TRUE,1,2,3,4,"26","652e8fa11356c619d2c8bdb3","Mechanistic",1,3,"I was surprised by the self-driving car's actions and want to know what I missed.","Female","25-34 years old","5f6f88cdb1ca47522ca4eef3","Female","35-44 years old"
"38",5,2,4,3,FALSE,1,1,1,1,"26","5c32331c70d93a00012338fd","Mechanistic",1,1,"To know what the self-driving car would have done if something had been different.","Female","55-64 years old","5f6f88cdb1ca47522ca4eef3","Female","35-44 years old"
